io,c
1,Rice-c
2,Barley-c
3,Bean-c
4,Potato-c
5,Vegi-c
6,Fruit-c
7,MissCrop-c
8,MissCrop-c
9,MissCrop-c
10,Flower-c
11,MissCrop-c
12,MissCrop-c
13,MissCrop-c
14,Dairy-c
15,Meat-c
16,Pork-c
17,Poultry-c
18,MissLstock-c
19,FF-c
20,FF-c
21,FF-c
22,FF-c
23,FF-c
24,FF-c
25,Commercial-c
26,Coal-c
27,Coal-c
28,Oil-c
29,LNG-c
30,Mining-c
31,Mining-c
32,Mining-c
33,Mining-c
34,Mining-c
35,Food-c
36,Food-c
37,Food-c
38,Food-c
39,Food-c
40,Food-c
41,Food-c
42,Rice-c
43,Food-c
44,Food-c
45,Food-c
46,Food-c
47,Food-c
48,Food-c
49,Food-c
50,Food-c
51,Food-c
52,Food-c
53,Food-c
54,Food-c
55,Food-c
56,Food-c
57,Food-c
58,Food-c
59,Food-c
60,Food-c
61,Food-c
62,FiberLeather-c
63,FiberLeather-c
64,FiberLeather-c
65,FiberLeather-c
66,FiberLeather-c
67,FiberLeather-c
68,FiberLeather-c
69,FiberLeather-c
70,FiberLeather-c
71,FiberLeather-c
72,FiberLeather-c
73,FiberLeather-c
74,FiberLeather-c
75,FiberLeather-c
76,FiberLeather-c
77,FiberLeather-c
78,FiberLeather-c
79,FiberLeather-c
80,FiberLeather-c
81,FiberLeather-c
82,FiberLeather-c
83,WoodPaper-c
84,WoodPaper-c
85,WoodPaper-c
86,WoodPaper-c
87,WoodPaper-c
88,WoodPaper-c
89,WoodPaper-c
90,WoodPaper-c
91,WoodPaper-c
92,WoodPaper-c
93,WoodPaper-c
94,WoodPaper-c
95,WoodPaper-c
96,WoodPaper-c
97,WoodPaper-c
98,WoodPaper-c
99,CoalPro-c
100,CoalPro-c
101,Oilpro-c
102,Gasoline-c
103,Jetoil-c
104,Kerosene-c
105,Diesel-c
106,Fueloil-c
107,LPG-c
108,Oilpro-c
109,Oilpro-c
110,Oilpro-c
111,Chemistry-c
112,Chemistry-c
113,Chemistry-c
114,Chemistry-c
115,Chemistry-c
116,Chemistry-c
117,Chemistry-c
118,Chemistry-c
119,Chemistry-c
120,Chemistry-c
121,FiberLeather-c
122,Chemistry-c
123,Chemistry-c
124,Chemistry-c
125,Chemistry-c
126,Chemistry-c
127,Chemistry-c
128,Chemistry-c
129,Chemistry-c
130,Chemistry-c
131,Chemistry-c
132,Chemistry-c
133,Chemistry-c
134,Chemistry-c
135,Chemistry-c
136,Chemistry-c
137,Chemistry-c
138,Chemistry-c
139,Chemistry-c
140,Mineral-c
141,Mineral-c
142,Mineral-c
143,Mineral-c
144,Mineral-c
145,Mineral-c
146,Mineral-c
147,Mineral-c
148,Cement-c
149,Cement-c
150,Cement-c
151,Cement-c
152,Cement-c
153,Cement-c
154,Cement-c
155,Cement-c
156,Cement-c
157,IS-c
158,IS-c
159,IS-c
160,IS-c
161,IS-c
162,IS-c
163,IS-c
164,IS-c
165,IS-c
166,IS-c
167,IS-c
168,IS-c
169,nonISmetal-c
170,nonISmetal-c
171,nonISmetal-c
172,nonISmetal-c
173,nonISmetal-c
174,nonISmetal-c
175,nonISmetal-c
176,nonISmetal-c
177,nonISmetal-c
178,Machine-c
179,Machine-c
180,Machine-c
181,Machine-c
182,Machine-c
